universe_code,universe_name,movie_code,movie_name,country_code,country_name,release_date,opening,gross
1000,MCU,5,Captain America: The First Avenger,886,Taiwan,29-Jul-11,1286917,6322666
1000,MCU,5,Captain America: The First Avenger,66,Thailand,28-Jul-11,1122215,2484526
1000,MCU,5,Captain America: The First Avenger,84,Vietnam,29-Jul-11,206885,598051
1000,MCU,6,The Avengers,1,United States,4-May-12,207438708,623357910
1000,MCU,6,The Avengers,43,Austria,26-Apr-12,679419,3175739
1000,MCU,6,The Avengers,32,Belgium,25-Apr-12,1271359,4061231
1000,MCU,6,The Avengers,359,Bulgaria,1-May-12,232228,743965
1000,MCU,6,The Avengers,385,Croatia,3-May-12,138406,387357
1000,MCU,6,The Avengers,420,Czech Republic,3-May-12,494363,1740748
1000,MCU,6,The Avengers,45,Denmark,26-Apr-12,1658686,5081339
1000,MCU,6,The Avengers,1003,East Africa,27-Apr-12,65331,323763
1000,MCU,6,The Avengers,20,Egypt,2-May-12,153968,913497
1000,MCU,6,The Avengers,358,Finland,27-Apr-12,431815,1476038
1000,MCU,6,The Avengers,33,France,25-Apr-12,19035088,37765919
1000,MCU,6,The Avengers,49,Germany,26-Apr-12,8444708,30828359
1000,MCU,6,The Avengers,233,Ghana,4-May-12,20549,20549
1000,MCU,6,The Avengers,30,Greece,26-Apr-12,868941,2599996
1000,MCU,6,The Avengers,36,Hungary,26-Apr-12,496999,1759397
1000,MCU,6,The Avengers,354,Iceland,27-Apr-12,139222,502028
1000,MCU,6,The Avengers,972,Israel,10-May-12,750051,2449957
1000,MCU,6,The Avengers,39,Italy,25-Apr-12,6372395,22012517
1000,MCU,6,The Avengers,961,Lebanon,3-May-12,143179,534555
1000,MCU,6,The Avengers,370,Lithuania,N/A,N/A,N/A
1000,MCU,6,The Avengers,31,Netherlands,25-Apr-12,1492640,6609804
1000,MCU,6,The Avengers,234,Nigeria,4-May-12,95843,202368
1000,MCU,6,The Avengers,47,Norway,27-Apr-12,1525494,5636566
1000,MCU,6,The Avengers,48,Poland,11-May-12,957409,3165105
